WBS ID,Milestone,Release,Type,Platform,Module,Task,Duration Days,Hours,Planned Start,Planned End,ES,EF,LS,LF,Total Float,Critical,Near Critical,Owner,Use Case,Predecessors
WBS-012,M1,R1 主檔與資料治理 Beta,Capability Build,DM,需求資料交換,資料對映與轉換 - 建置與驗證,6,152,2026-11-03,2026-11-10,45,51,89,95,44,N,N,資料整合工程師,資料對映與轉換 可用於「當需要處理「資料對映與轉換」時，使用者可透過此功能建立欄位對映，以完成與「資料對映與轉換」相關的日常作業。」等情境。,WBS-011(SS+3)
WBS-013,M1,R1 主檔與資料治理 Beta,Capability Build,DM,需求資料交換,資料品質管理 - 建置與驗證,5,140,2026-11-05,2026-11-11,47,52,91,96,44,N,N,資料整合工程師,資料品質管理 可用於「當需要處理「資料品質管理」時，使用者可透過此功能定義品質規則，以完成與「資料品質管理」相關的日常作業。」等情境。,WBS-012(SS+2)
WBS-014,M1,R1 主檔與資料治理 Beta,Capability Build,DM,需求資料交換,資料匯入監控 - 建置與驗證,6,156,2026-11-10,2026-11-17,50,56,94,100,44,N,N,資料整合工程師,資料匯入監控 可用於「當需要處理「資料匯入監控」時，使用者可透過此功能監控執行狀態，以完成與「資料匯入監控」相關的日常作業。」等情境。,WBS-013(SS+3)
WBS-015,M1,R1 主檔與資料治理 Beta,Capability Build,DM,需求資料交換,對外發布管理 - 建置與驗證,6,164,2026-11-12,2026-11-19,52,58,96,102,44,N,N,資料整合工程師,對外發布管理 可用於「當需要處理「對外發布管理」時，使用者可透過此功能建立發布清單，以完成與「對外發布管理」相關的日常作業。」等情境。,WBS-014(SS+2)
WBS-016,M1,R1 主檔與資料治理 Beta,Capability Build,DM,需求資料交換,資料血緣與交換稽核 - 建置與驗證,6,160,2026-11-17,2026-11-24,55,61,99,105,44,N,N,資料整合工程師,資料血緣與交換稽核 可用於「當需要處理「資料血緣與交換稽核」時，使用者可透過此功能記錄操作歷程，以完成與「資料血緣與交換稽核」相關的日常作業。」等情境。,WBS-015(SS+3)
WBS-017,M1,R1 主檔與資料治理 Beta,Capability Build,SCP,統一供應模型,組織與地點維度模型管理 - 建置與驗證,12,312,2026-11-19,2026-12-04,57,69,76,88,19,N,N,供應模型管理者/IE,組織與地點維度模型管理 可用於「當需要處理「組織與地點維度模型管理」時，使用者可透過此功能建立與維護模型/主檔，以完成與「組織與地點維度模型管理」相關的日常作業。」等情境。,WBS-002(FS+32)
WBS-018,M1,R1 主檔與資料治理 Beta,Capability Build,SCP,統一供應模型,模型發布與治理 - 建置與驗證,12,312,2026-11-24,2026-12-09,60,72,79,91,19,N,N,供應模型管理者/IE,模型發布與治理 可用於「當需要處理「組織與地點維度模型管理」時，使用者可透過此功能建立與維護模型/主檔，以完成與「組織與地點維度模型管理」相關的日常作業。」等情境。,WBS-017(SS+3)
WBS-019,M1,R1 主檔與資料治理 Beta,Capability Build,SCP,統一供應模型,供應網路模型管理 - 建置與驗證,8,218,2026-11-26,2026-12-07,62,70,81,89,19,N,N,供應模型管理者/IE,供應網路模型管理 可用於「當需要處理「供應網路模型管理」時，使用者可透過此功能建立與維護模型/主檔，以完成與「供應網路模型管理」相關的日常作業。」等情境。,WBS-018(SS+2)
WBS-020,M1,R1 主檔與資料治理 Beta,Capability Build,SCP,統一供應模型,產品與BOM模型管理 - 建置與驗證,7,180,2026-12-01,2026-12-09,65,72,84,91,19,N,N,供應模型管理者/IE,產品與BOM模型管理 可用於「當需要處理「產品與BOM模型管理」時，使用者可透過此功能建立與維護模型/主檔，以完成與「產品與BOM模型管理」相關的日常作業。」等情境。,WBS-019(SS+3)
WBS-021,M1,R1 主檔與資料治理 Beta,Capability Build,SCP,統一供應模型,製造與產能模型管理 - 建置與驗證,7,180,2026-12-03,2026-12-11,67,74,86,93,19,N,N,供應模型管理者/IE,製造與產能模型管理 可用於「當需要處理「製造與產能模型管理」時，使用者可透過此功能建立與維護模型/主檔，以完成與「製造與產能模型管理」相關的日常作業。」等情境。,WBS-020(SS+2)
WBS-022,M1,R1 主檔與資料治理 Beta,Capability Build,SCP,統一供應模型,採購與供應商模型管理 - 建置與驗證,6,148,2026-12-08,2026-12-15,70,76,89,95,19,N,N,供應模型管理者/IE,採購與供應商模型管理 可用於「當需要處理「採購與供應商模型管理」時，使用者可透過此功能建立與維護模型/主檔，以完成與「採購與供應商模型管理」相關的日常作業。」等情境。,WBS-021(SS+3)
WBS-023,M1,R1 主檔與資料治理 Beta,Capability Build,SCP,統一供應模型,庫存與補貨政策模型管理 - 建置與驗證,7,180,2026-12-10,2026-12-18,72,79,91,98,19,N,N,供應模型管理者/IE,庫存與補貨政策模型管理 可用於「當需要處理「庫存與補貨政策模型管理」時，使用者可透過此功能建立與維護模型/主檔，以完成與「庫存與補貨政策模型管理」相關的日常作業。」等情境。,WBS-022(SS+2)
WBS-024,M1,R1 主檔與資料治理 Beta,Capability Build,SCP,統一供應模型,供應事件模型管理 - 建置與驗證,6,148,2026-12-15,2026-12-22,75,81,94,100,19,N,N,供應模型管理者/IE,供應事件模型管理 可用於「當需要處理「供應事件模型管理」時，使用者可透過此功能建立與維護模型/主檔，以完成與「供應事件模型管理」相關的日常作業。」等情境。,WBS-023(SS+3)
WBS-025,M1,R1 主檔與資料治理 Beta,Capability Build,SCP,統一供應模型,指標與Key Figure管理 - 建置與驗證,6,144,2026-12-17,2026-12-24,77,83,96,102,19,N,N,供應模型管理者/IE,指標與Key Figure管理 可用於「當需要處理「指標與Key Figure管理」時，使用者可透過此功能建立與設定，以完成與「指標與Key Figure管理」相關的日常作業。」等情境。,WBS-024(SS+2)
WBS-026,M1,R1 主檔與資料治理 Beta,Capability Build,SCP,統一供應模型,版本與情境模型管理 - 建置與驗證,6,152,2026-12-22,2026-12-29,80,86,99,105,19,N,N,供應模型管理者/IE,版本與情境模型管理 可用於「當需要處理「版本與情境模型管理」時，使用者可透過此功能建立與維護模型/主檔，以完成與「版本與情境模型管理」相關的日常作業。」等情境。,WBS-025(SS+3)
WBS-027,M1,R1 主檔與資料治理 Beta,Capability Build,SCP,供應資料交換,資料來源管理 - 建置與驗證,5,140,2026-12-24,2026-12-30,82,87,84,89,2,N,Y,資料整合工程師,資料來源管理 可用於「當需要處理「資料來源管理」時，使用者可透過此功能登錄來源系統，以完成與「資料來源管理」相關的日常作業。」等情境。,WBS-002(FS+57)
WBS-028,M1,R1 主檔與資料治理 Beta,Capability Build,SCP,供應資料交換,資料接入流程設計 - 建置與驗證,6,152,2026-12-29,2027-01-05,85,91,87,93,2,N,Y,資料整合工程師,資料接入流程設計 可用於「當需要處理「資料接入流程設計」時，使用者可透過此功能建立接入流程，以完成與「資料接入流程設計」相關的日常作業。」等情境。,WBS-027(SS+3)
WBS-029,M1,R1 主檔與資料治理 Beta,Capability Build,SCP,供應資料交換,資料對映與轉換 - 建置與驗證,6,152,2026-12-31,2027-01-07,87,93,89,95,2,N,Y,資料整合工程師,資料對映與轉換 可用於「當需要處理「資料對映與轉換」時，使用者可透過此功能建立欄位對映，以完成與「資料對映與轉換」相關的日常作業。」等情境。,WBS-028(SS+2)
WBS-030,M1,R1 主檔與資料治理 Beta,Capability Build,SCP,供應資料交換,資料品質管理 - 建置與驗證,5,140,2027-01-05,2027-01-11,90,95,92,97,2,N,Y,資料整合工程師,資料品質管理 可用於「當需要處理「資料品質管理」時，使用者可透過此功能定義品質規則，以完成與「資料品質管理」相關的日常作業。」等情境。,WBS-029(SS+3)
WBS-031,M1,R1 主檔與資料治理 Beta,Capability Build,SCP,供應資料交換,資料匯入監控 - 建置與驗證,6,156,2027-01-07,2027-01-14,92,98,94,100,2,N,Y,資料整合工程師,資料匯入監控 可用於「當需要處理「資料匯入監控」時，使用者可透過此功能監控執行狀態，以完成與「資料匯入監控」相關的日常作業。」等情境。,WBS-030(SS+2)
WBS-032,M1,R1 主檔與資料治理 Beta,Capability Build,SCP,供應資料交換,對外發布管理 - 建置與驗證,6,164,2027-01-12,2027-01-19,95,101,97,103,2,N,Y,資料整合工程師,對外發布管理 可用於「當需要處理「對外發布管理」時，使用者可透過此功能建立發布清單，以完成與「對外發布管理」相關的日常作業。」等情境。,WBS-031(SS+3)
WBS-033,M1,R1 主檔與資料治理 Beta,Capability Build,SCP,供應資料交換,資料血緣與交換稽核 - 建置與驗證,6,160,2027-01-14,2027-01-21,97,103,99,105,2,N,Y,資料整合工程師,資料血緣與交換稽核 可用於「當需要處理「資料血緣與交換稽核」時，使用者可透過此功能記錄操作歷程，以完成與「資料血緣與交換稽核」相關的日常作業。」等情境。,WBS-032(SS+2)
WBS-034,M1,R1 主檔與資料治理 Beta,User Release Gate,Cross,Release,R1 主檔與資料治理 Beta - 使用者驗收、訓練與發布,5,336,2027-01-19,2027-01-25,100,105,100,105,0,Y,N,PM/PO / QA / DevOps/SRE / Scrum Master,新增客戶/工廠主檔與維度模型; 接入預測、訂單、BOM、供應網路等核心資料來源,WBS-002(FS+75); WBS-003(FF); WBS-004(FF); WBS-005(FF); WBS-006(FF); WBS-007(FF); WBS-008(FF); WBS-009(FF); WBS-010(FF); WBS-011(FF); WBS-012(FF); WBS-013(FF); WBS-014(FF); WBS-015(FF); WBS-016(FF); WBS-017(FF); WBS-018(FF); WBS-019(FF); WBS-020(FF); WBS-021(FF); WBS-022(FF); WBS-023(FF); WBS-024(FF); WBS-025(FF); WBS-026(FF); WBS-027(FF); WBS-028(FF); WBS-029(FF); WBS-030(FF); WBS-031(FF); WBS-032(FF); WBS-033(FF)
WBS-035,M2,R2 DM 事件與分析 Pilot,Release/Foundation,Cross,共用/Release,DM 需求事件與分析 - 共用建設與Release準備,7,420,2027-01-26,2027-02-03,105,112,138,145,33,N,N,PM/PO / DevOps/SRE / QA,收到客戶需求變動後，自動產生需求事件; 分析需求波動、預測誤差與需求風險,WBS-034(FS)
WBS-036,M2,R2 DM 事件與分析 Pilot,Capability Build,DM,需求事件中心,需求事件收件匣 - 建置與驗證,5,138,2027-01-26,2027-02-01,105,110,124,129,19,N,N,需求規劃人員,需求事件收件匣 可用於「當需要處理「需求事件收件匣」時，使用者可透過此功能接收新事件/任務，以完成與「需求事件收件匣」相關的日常作業。」等情境。,WBS-034(FS+0)
WBS-037,M2,R2 DM 事件與分析 Pilot,Capability Build,DM,需求事件中心,需求事件明細 - 建置與驗證,5,130,2027-01-28,2027-02-03,107,112,126,131,19,N,N,需求規劃人員,需求事件明細 可用於「當需要處理「需求事件明細」時，使用者可透過此功能查看事件全貌，以完成與「需求事件明細」相關的日常作業。」等情境。,WBS-036(SS+2)
WBS-038,M2,R2 DM 事件與分析 Pilot,Capability Build,DM,需求事件中心,需求比對與沖銷預覽 - 建置與驗證,8,200,2027-02-02,2027-02-11,110,118,129,137,19,N,N,需求規劃人員,需求比對與沖銷預覽 可用於「當需要處理「需求比對與沖銷預覽」時，使用者可透過此功能建立模擬/評估條件，以完成與「需求比對與沖銷預覽」相關的日常作業。」等情境。,WBS-037(SS+3)
WBS-039,M2,R2 DM 事件與分析 Pilot,Capability Build,DM,需求事件中心,檢視 - 建置與驗證,6,150,2027-02-04,2027-02-11,112,118,131,137,19,N,N,需求規劃人員,檢視 可用於「當需要處理「檢視」時，使用者可透過此功能彙整討論內容，以完成與「檢視」相關的日常作業。」等情境。,WBS-038(SS+2)
WBS-040,M2,R2 DM 事件與分析 Pilot,Capability Build,DM,需求事件中心,事件例外處理 - 建置與驗證,5,134,2027-02-09,2027-02-15,115,120,134,139,19,N,N,需求規劃人員,事件例外處理 可用於「當需要處理「事件例外處理」時，使用者可透過此功能建立與設定，以完成與「事件例外處理」相關的日常作業。」等情境。,WBS-039(SS+3)
WBS-041,M2,R2 DM 事件與分析 Pilot,Capability Build,DM,需求事件中心,需求計畫版本生成 - 建置與驗證,6,146,2027-02-11,2027-02-18,117,123,136,142,19,N,N,需求規劃人員,需求計畫版本生成 可用於「當需要處理「需求計畫版本生成」時，使用者可透過此功能建立與設定，以完成與「需求計畫版本生成」相關的日常作業。」等情境。,WBS-040(SS+2)
WBS-042,M2,R2 DM 事件與分析 Pilot,Capability Build,DM,需求事件中心,事件處理歷程 - 建置與驗證,6,142,2027-02-16,2027-02-23,120,126,139,145,19,N,N,需求規劃人員,事件處理歷程 可用於「當需要處理「事件處理歷程」時，使用者可透過此功能記錄操作歷程，以完成與「事件處理歷程」相關的日常作業。」等情境。,WBS-041(SS+3)
WBS-043,M2,R2 DM 事件與分析 Pilot,Capability Build,DM,需求分析,需求變化總覽 - 建置與驗證,6,154,2027-02-18,2027-02-25,122,128,124,130,2,N,Y,需求規劃人員,需求變化總覽 可用於「當需要處理「需求變化總覽」時，使用者可透過此功能建立與設定，以完成與「需求變化總覽」相關的日常作業。」等情境。,WBS-034(FS+17)
WBS-044,M2,R2 DM 事件與分析 Pilot,Capability Build,DM,需求分析,需求輪廓與行為分析 - 建置與驗證,6,154,2027-02-23,2027-03-02,125,131,127,133,2,N,Y,需求規劃人員,需求輪廓與行為分析 可用於「當需要處理「需求輪廓與行為分析」時，使用者可透過此功能建立與設定，以完成與「需求輪廓與行為分析」相關的日常作業。」等情境。,WBS-043(SS+3)
WBS-045,M2,R2 DM 事件與分析 Pilot,Capability Build,DM,需求分析,預測績效分析 - 建置與驗證,8,212,2027-02-25,2027-03-08,127,135,129,137,2,N,Y,需求規劃人員,預測績效分析 可用於「當需要處理「預測績效分析」時，使用者可透過此功能建立與設定，以完成與「預測績效分析」相關的日常作業。」等情境。,WBS-044(SS+2)
WBS-046,M2,R2 DM 事件與分析 Pilot,Capability Build,DM,需求分析,需求風險分析 - 建置與驗證,6,154,2027-03-02,2027-03-09,130,136,132,138,2,N,Y,需求規劃人員,需求風險分析 可用於「當需要處理「需求風險分析」時，使用者可透過此功能建立與設定，以完成與「需求風險分析」相關的日常作業。」等情境。,WBS-045(SS+3)
WBS-047,M2,R2 DM 事件與分析 Pilot,Capability Build,DM,需求分析,影響分析 - 建置與驗證,8,204,2027-03-04,2027-03-15,132,140,134,142,2,N,Y,需求規劃人員,影響分析 可用於「當需要處理「影響分析」時，使用者可透過此功能建立模擬/評估條件，以完成與「影響分析」相關的日常作業。」等情境。,WBS-046(SS+2)
WBS-048,M2,R2 DM 事件與分析 Pilot,Capability Build,DM,需求分析,供應影響分析 - 建置與驗證,6,150,2027-03-09,2027-03-16,135,141,137,143,2,N,Y,需求規劃人員,供應影響分析 可用於「當需要處理「供應影響分析」時，使用者可透過此功能建立模擬/評估條件，以完成與「供應影響分析」相關的日常作業。」等情境。,WBS-047(SS+3)
WBS-049,M2,R2 DM 事件與分析 Pilot,Capability Build,DM,需求分析,報告中心 - 建置與驗證,6,154,2027-03-11,2027-03-18,137,143,139,145,2,N,Y,需求規劃人員,報告中心 可用於「當需要處理「報告中心」時，使用者可透過此功能建立與設定，以完成與「報告中心」相關的日常作業。」等情境。,WBS-048(SS+2)
WBS-050,M2,R2 DM 事件與分析 Pilot,User Release Gate,Cross,Release,R2 DM 事件與分析 Pilot - 使用者驗收、訓練與發布,5,336,2027-03-16,2027-03-22,140,145,140,145,0,Y,N,PM/PO / QA / DevOps/SRE / Scrum Master,收到客戶需求變動後，自動產生需求事件; 分析需求波動、預測誤差與需求風險,WBS-034(FS+35); WBS-035(FF); WBS-036(FF); WBS-037(FF); WBS-038(FF); WBS-039(FF); WBS-040(FF); WBS-041(FF); WBS-042(FF); WBS-043(FF); WBS-044(FF); WBS-045(FF); WBS-046(FF); WBS-047(FF); WBS-048(FF); WBS-049(FF)
WBS-051,M3,R3 DM 規劃與客戶回覆,Release/Foundation,Cross,共用/Release,DM 規劃與協同 - 共用建設與Release準備,11,700,2027-03-23,2027-04-06,145,156,229,240,84,N,N,PM/PO / DevOps/SRE / QA,對急單或變動需求進行 ATP 快速評估; 形成需求版本並完成需求協同與客戶回覆,WBS-050(FS)
WBS-052,M3,R3 DM 規劃與客戶回覆,Capability Build,DM,需求規劃工作台,規劃範圍與版本選擇 - 建置與驗證,7,188,2027-03-23,2027-03-31,145,152,206,213,61,N,N,需求規劃人員,規劃範圍與版本選擇 可用於「當需要處理「規劃範圍與版本選擇」時，使用者可透過此功能準備規劃輸入，以完成與「規劃範圍與版本選擇」相關的日常作業。」等情境。,WBS-050(FS+0)
WBS-053,M3,R3 DM 規劃與客戶回覆,Capability Build,DM,需求規劃工作台,需求計畫檢視 - 建置與驗證,9,240,2027-03-26,2027-04-07,148,157,209,218,61,N,N,需求規劃人員,需求計畫檢視 可用於「當需要處理「需求計畫檢視」時，使用者可透過此功能彙整討論內容，以完成與「需求計畫檢視」相關的日常作業。」等情境。,WBS-052(SS+3)
WBS-054,M3,R3 DM 規劃與客戶回覆,Capability Build,DM,需求規劃工作台,需求調整 - 建置與驗證,7,188,2027-03-31,2027-04-08,151,158,212,219,61,N,N,需求規劃人員,需求調整 可用於「當需要處理「需求調整」時，使用者可透過此功能準備規劃輸入，以完成與「需求調整」相關的日常作業。」等情境。,WBS-053(SS+3)
WBS-055,M3,R3 DM 規劃與客戶回覆,Capability Build,DM,需求規劃工作台,預測與需求假設 - 建置與驗證,9,240,2027-04-06,2027-04-16,155,164,216,225,61,N,N,需求規劃人員,預測與需求假設 可用於「當需要處理「預測與需求假設」時，使用者可透過此功能準備規劃輸入，以完成與「預測與需求假設」相關的日常作業。」等情境。,WBS-054(SS+4)
WBS-056,M3,R3 DM 規劃與客戶回覆,Capability Build,DM,需求規劃工作台,需求情境管理 - 建置與驗證,8,224,2027-04-09,2027-04-20,158,166,219,227,61,N,N,需求規劃人員,需求情境管理 可用於「當需要處理「需求情境管理」時，使用者可透過此功能建立模擬/評估條件，以完成與「需求情境管理」相關的日常作業。」等情境。,WBS-055(SS+3)
WBS-057,M3,R3 DM 規劃與客戶回覆,Capability Build,DM,需求規劃工作台,快速評估 - 建置與驗證,11,286,2027-04-15,2027-04-29,162,173,223,234,61,N,N,需求規劃人員,快速評估 可用於「當需要處理「快速評估」時，使用者可透過此功能建立模擬/評估條件，以完成與「快速評估」相關的日常作業。」等情境。,WBS-056(SS+4)
WBS-058,M3,R3 DM 規劃與客戶回覆,Capability Build,DM,需求規劃工作台,需求方案比較 - 建置與驗證,7,184,2027-04-20,2027-04-28,165,172,226,233,61,N,N,需求規劃人員,需求方案比較 可用於「當需要處理「需求方案比較」時，使用者可透過此功能建立模擬/評估條件，以完成與「需求方案比較」相關的日常作業。」等情境。,WBS-057(SS+3)
WBS-059,M3,R3 DM 規劃與客戶回覆,Capability Build,DM,需求規劃工作台,判斷與提交 - 建置與驗證,7,188,2027-04-26,2027-05-04,169,176,230,237,61,N,N,需求規劃人員,判斷與提交 可用於「當需要處理「判斷與提交」時，使用者可透過此功能準備規劃輸入，以完成與「判斷與提交」相關的日常作業。」等情境。,WBS-058(SS+4)
WBS-060,M3,R3 DM 規劃與客戶回覆,Capability Build,DM,需求規劃工作台,規劃草稿與歷程 - 建置與驗證,7,192,2027-04-29,2027-05-07,172,179,233,240,61,N,N,需求規劃人員,規劃草稿與歷程 可用於「當需要處理「規劃草稿與歷程」時，使用者可透過此功能記錄操作歷程，以完成與「規劃草稿與歷程」相關的日常作業。」等情境。,WBS-059(SS+3)
WBS-061,M3,R3 DM 規劃與客戶回覆,Capability Build,DM,需求協同與審查,我的任務 - 建置與驗證,7,192,2027-05-05,2027-05-13,176,183,206,213,30,N,N,需求主管,我的任務 可用於「當需要處理「我的任務」時，使用者可透過此功能接收新事件/任務，以完成與「我的任務」相關的日常作業。」等情境。,WBS-050(FS+31)
WBS-062,M3,R3 DM 規劃與客戶回覆,Capability Build,DM,需求協同與審查,需求計畫審查 - 建置與驗證,8,204,2027-05-10,2027-05-19,179,187,209,217,30,N,N,需求主管,需求計畫審查 可用於「當需要處理「需求計畫審查」時，使用者可透過此功能彙整討論內容，以完成與「需求計畫審查」相關的日常作業。」等情境。,WBS-061(SS+3)
WBS-063,M3,R3 DM 規劃與客戶回覆,Capability Build,DM,需求協同與審查,例外協同 - 建置與驗證,9,248,2027-05-14,2027-05-26,183,192,213,222,30,N,N,需求主管,例外協同 可用於「當需要處理「例外協同」時，使用者可透過此功能彙整討論內容，以完成與「例外協同」相關的日常作業。」等情境。,WBS-062(SS+4)
WBS-064,M3,R3 DM 規劃與客戶回覆,Capability Build,DM,需求協同與審查,模擬申請 - 建置與驗證,7,190,2027-05-19,2027-05-27,186,193,216,223,30,N,N,需求主管,模擬申請 可用於「當需要處理「模擬申請」時，使用者可透過此功能建立模擬/評估條件，以完成與「模擬申請」相關的日常作業。」等情境。,WBS-063(SS+3)
WBS-065,M3,R3 DM 規劃與客戶回覆,Capability Build,DM,需求協同與審查,模擬追蹤 - 建置與驗證,7,190,2027-05-25,2027-06-02,190,197,220,227,30,N,N,需求主管,模擬追蹤 可用於「當需要處理「模擬追蹤」時，使用者可透過此功能建立模擬/評估條件，以完成與「模擬追蹤」相關的日常作業。」等情境。,WBS-064(SS+4)
WBS-066,M3,R3 DM 規劃與客戶回覆,Capability Build,DM,需求協同與審查,結果比較 - 建置與驗證,7,188,2027-05-28,2027-06-07,193,200,223,230,30,N,N,需求主管,結果比較 可用於「當需要處理「結果比較」時，使用者可透過此功能建立與設定，以完成與「結果比較」相關的日常作業。」等情境。,WBS-065(SS+3)
WBS-067,M3,R3 DM 規劃與客戶回覆,Capability Build,DM,需求協同與審查,共識與決策 - 建置與驗證,8,204,2027-06-02,2027-06-11,196,204,226,234,30,N,N,需求主管,共識與決策 可用於「當需要處理「共識與決策」時，使用者可透過此功能彙整討論內容，以完成與「共識與決策」相關的日常作業。」等情境。,WBS-066(SS+3)
WBS-068,M3,R3 DM 規劃與客戶回覆,Capability Build,DM,需求協同與審查,客戶回覆審查 - 建置與驗證,7,170,2027-06-08,2027-06-16,200,207,230,237,30,N,N,需求主管,客戶回覆審查 可用於「當需要處理「客戶回覆審查」時，使用者可透過此功能彙整討論內容，以完成與「客戶回覆審查」相關的日常作業。」等情境。,WBS-067(SS+4)
WBS-069,M3,R3 DM 規劃與客戶回覆,Capability Build,DM,需求協同與審查,協同歷程與稽核 - 建置與驗證,7,170,2027-06-11,2027-06-21,203,210,233,240,30,N,N,需求主管,協同歷程與稽核 可用於「當需要處理「協同歷程與稽核」時，使用者可透過此功能記錄操作歷程，以完成與「協同歷程與稽核」相關的日常作業。」等情境。,WBS-068(SS+3)
WBS-070,M3,R3 DM 規劃與客戶回覆,Capability Build,DM,自動化工作室,事件設計器 - 建置與驗證,8,208,2027-06-17,2027-06-28,207,215,208,216,1,N,Y,流程與自動化管理者,事件設計器 可用於「當需要處理「事件設計器」時，使用者可透過此功能建立設計範本，以完成與「事件設計器」相關的日常作業。」等情境。,WBS-050(FS+62)
WBS-071,M3,R3 DM 規劃與客戶回覆,Capability Build,DM,自動化工作室,業務規則設計器 - 建置與驗證,8,208,2027-06-22,2027-07-01,210,218,211,219,1,N,Y,流程與自動化管理者,業務規則設計器 可用於「當需要處理「業務規則設計器」時，使用者可透過此功能建立設計範本，以完成與「業務規則設計器」相關的日常作業。」等情境。,WBS-070(SS+3)
WBS-072,M3,R3 DM 規劃與客戶回覆,Capability Build,DM,自動化工作室,工作流程設計器 - 建置與驗證,8,208,2027-06-28,2027-07-07,214,222,215,223,1,N,Y,流程與自動化管理者,工作流程設計器 可用於「當需要處理「工作流程設計器」時，使用者可透過此功能建立設計範本，以完成與「工作流程設計器」相關的日常作業。」等情境。,WBS-071(SS+4)
